wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
lubelskie,kraśnicki,4,0,4,0.42,0.0,0.42,0,0,0,8,4,0,29,4,25,0,t0607,2022-04-12
lubelskie,lubartowski,1,0,1,0.11,0.0,0.11,0,0,0,2,0,0,38,1,37,0,t0608,2022-04-12
lubelskie,lubelski,7,3,10,0.45,0.19,0.64,0,0,0,11,1,0,87,11,76,0,t0609,2022-04-12
lubelskie,łęczyński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,18,0,18,0,t0610,2022-04-12
lubelskie,łukowski,1,1,2,0.09,0.09,0.19,0,0,0,6,0,0,42,2,40,0,t0611,2022-04-12
lubelskie,opolski,3,0,3,0.51,0.0,0.51,0,0,0,3,0,0,33,4,28,1,t0612,2022-04-12
lubelskie,parczewski,2,2,4,0.58,0.58,1.16,0,0,0,2,0,0,12,5,7,0,t0613,2022-04-12
lubelskie,puławski,7,1,8,0.62,0.09,0.71,0,0,0,11,0,0,55,8,47,0,t0614,2022-04-12
lubelskie,radzyński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,21,0,21,0,t0615,2022-04-12
lubelskie,rycki,4,0,4,0.72,0.0,0.72,0,0,0,15,0,0,39,4,35,0,t0616,2022-04-12
lubelskie,świdnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,21,0,21,0,t0617,2022-04-12
lubelskie,tomaszowski,2,0,2,0.24,0.0,0.24,0,0,0,3,3,0,39,2,37,0,t0618,2022-04-12
lubelskie,włodawski,1,0,1,0.26,0.0,0.26,1,0,1,1,0,0,16,1,15,0,t0619,2022-04-12
lubelskie,zamojski,5,0,5,0.47,0.0,0.47,1,0,1,6,1,0,25,5,20,0,t0620,2022-04-12
lubelskie,Biała Podlaska,3,0,3,0.52,0.0,0.52,2,0,2,5,0,0,18,3,15,0,t0661,2022-04-12
lubelskie,Chełm,2,0,2,0.32,0.0,0.32,0,0,0,4,0,0,27,2,25,0,t0662,2022-04-12
lubelskie,Lublin,23,1,24,0.68,0.03,0.71,3,0,3,21,1,0,276,27,249,0,t0663,2022-04-12
lubelskie,Zamość,4,1,5,0.63,0.16,0.79,0,0,0,5,0,0,19,6,13,0,t0664,2022-04-12
lubuskie,gorzowski,1,1,2,0.14,0.14,0.28,0,0,0,6,0,0,18,2,16,0,t0801,2022-04-12
lubuskie,krośnieński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,9,0,t0802,2022-04-12
lubuskie,międzyrzecki,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,26,0,26,0,t0803,2022-04-12
lubuskie,nowosolski,1,0,1,0.12,0.0,0.12,0,0,0,0,0,0,17,1,15,1,t0804,2022-04-12
lubuskie,słubicki,1,0,1,0.21,0.0,0.21,0,0,0,2,0,0,12,1,11,0,t0805,2022-04-12
lubuskie,strzelecko-drezdenecki,1,0,1,0.2,0.0,0.2,0,0,0,11,0,0,21,1,20,0,t0806,2022-04-12
lubuskie,sulęciński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,26,0,26,0,t0807,2022-04-12
lubuskie,świebodziński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,14,0,14,0,t0808,2022-04-12
lubuskie,zielonogórski,1,0,1,0.13,0.0,0.13,0,0,0,3,0,0,32,1,31,0,t0809,2022-04-12
lubuskie,żagański,0,0,0,0.0,0.0,0.0,0,0,0,4,0,0,20,0,20,0,t0810,2022-04-12
lubuskie,żarski,2,0,2,0.21,0.0,0.21,0,0,0,9,0,0,44,2,42,0,t0811,2022-04-12
lubuskie,wschowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0812,2022-04-12
lubuskie,Gorzów Wielkopolski,3,0,3,0.24,0.0,0.24,0,0,0,13,0,0,42,3,39,0,t0861,2022-04-12
lubuskie,Zielona Góra,3,0,3,0.21,0.0,0.21,1,0,1,7,0,0,62,3,59,0,t0862,2022-04-12
łódzkie,bełchatowski,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,28,0,27,1,t1001,2022-04-12
łódzkie,kutnowski,4,0,4,0.42,0.0,0.42,0,0,0,7,0,0,32,4,28,0,t1002,2022-04-12
łódzkie,łaski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,9,0,t1003,2022-04-12
łódzkie,łęczycki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,69,0,69,0,t1004,2022-04-12
łódzkie,łowicki,2,1,3,0.26,0.13,0.39,0,0,0,2,0,0,43,6,37,0,t1005,2022-04-12
łódzkie,łódzki wschodni,3,0,3,0.41,0.0,0.41,0,0,0,4,0,0,27,4,22,1,t1006,2022-04-12
łódzkie,opoczyński,2,0,2,0.26,0.0,0.26,0,0,0,8,0,0,26,2,24,0,t1007,2022-04-12
łódzkie,pabianicki,5,1,6,0.42,0.08,0.5,0,0,0,5,0,0,50,7,43,0,t1008,2022-04-12
łódzkie,pajęczański,1,0,1,0.2,0.0,0.2,0,0,0,2,0,0,12,1,11,0,t1009,2022-04-12
łódzkie,piotrkowski,2,0,2,0.22,0.0,0.22,0,0,0,2,0,0,129,2,127,0,t1010,2022-04-12
łódzkie,poddębicki,0,0,0,0.0,0.0,0.0,0,0,0,4,0,0,23,0,22,1,t1011,2022-04-12
łódzkie,radomszczański,4,0,4,0.36,0.0,0.36,0,0,0,1,1,0,28,5,23,0,t1012,2022-04-12
łódzkie,rawski,2,0,2,0.41,0.0,0.41,0,0,0,2,0,0,11,2,9,0,t1013,2022-04-12
łódzkie,sieradzki,3,1,4,0.26,0.09,0.34,0,0,0,1,0,0,22,4,18,0,t1014,2022-04-12
łódzkie,skierniewicki,4,0,4,1.05,0.0,1.05,0,0,0,4,0,0,17,6,11,0,t1015,2022-04-12
łódzkie,tomaszowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,31,0,31,0,t1016,2022-04-12
łódzkie,wieluński,1,0,1,0.13,0.0,0.13,0,0,0,1,0,0,18,1,17,0,t1017,2022-04-12
łódzkie,wieruszowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,12,0,12,0,t1018,2022-04-12
łódzkie,zduńskowolski,1,0,1,0.15,0.0,0.15,0,0,0,1,0,0,17,1,16,0,t1019,2022-04-12
łódzkie,zgierski,5,1,6,0.3,0.06,0.36,0,0,0,5,0,0,71,9,61,1,t1020,2022-04-12
łódzkie,brzeziński,1,0,1,0.32,0.0,0.32,0,0,0,1,0,0,30,1,29,0,t1021,2022-04-12
łódzkie,Łódź,38,6,44,0.56,0.09,0.65,5,4,1,42,3,0,358,65,290,3,t1061,2022-04-12
łódzkie,Piotrków Trybunalski,1,0,1,0.14,0.0,0.14,0,0,0,0,2,0,110,3,107,0,t1062,2022-04-12
łódzkie,Skierniewice,8,1,9,1.67,0.21,1.88,0,0,0,9,0,0,29,10,19,0,t1063,2022-04-12
małopolskie,bocheński,2,0,2,0.19,0.0,0.19,0,0,0,2,0,0,31,2,29,0,t1201,2022-04-12
małopolskie,brzeski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,25,0,25,0,t1202,2022-04-12
małopolskie,chrzanowski,2,0,2,0.16,0.0,0.16,0,0,0,6,0,0,20,2,18,0,t1203,2022-04-12
małopolskie,dąbrowski,4,0,4,0.68,0.0,0.68,0,0,0,9,0,0,27,4,23,0,t1204,2022-04-12
małopolskie,gorlicki,3,0,3,0.28,0.0,0.28,0,0,0,6,0,0,32,3,29,0,t1205,2022-04-12
małopolskie,krakowski,12,1,13,0.43,0.04,0.46,0,0,0,11,0,0,144,16,128,0,t1206,2022-04-12
małopolskie,limanowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,30,0,30,0,t1207,2022-04-12
małopolskie,miechowski,15,1,16,3.08,0.21,3.29,0,0,0,19,0,0,24,16,8,0,t1208,2022-04-12
małopolskie,myślenicki,2,0,2,0.16,0.0,0.16,0,0,0,2,0,0,34,3,31,0,t1209,2022-04-12
małopolskie,nowosądecki,1,0,1,0.05,0.0,0.05,1,1,0,7,0,0,59,1,58,0,t1210,2022-04-12
małopolskie,nowotarski,2,1,3,0.1,0.05,0.16,0,0,0,6,0,0,44,4,40,0,t1211,2022-04-12
małopolskie,olkuski,5,0,5,0.45,0.0,0.45,0,0,0,8,0,0,50,7,43,0,t1212,2022-04-12
małopolskie,oświęcimski,1,0,1,0.07,0.0,0.07,0,0,0,4,0,0,29,1,28,0,t1213,2022-04-12
małopolskie,proszowicki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,12,0,12,0,t1214,2022-04-12
małopolskie,suski,2,0,2,0.24,0.0,0.24,0,0,0,2,0,0,17,2,15,0,t1215,2022-04-12
małopolskie,tarnowski,9,0,9,0.45,0.0,0.45,0,0,0,7,2,0,47,11,36,0,t1216,2022-04-12
małopolskie,tatrzański,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,28,0,28,0,t1217,2022-04-12
małopolskie,wadowicki,1,1,2,0.06,0.06,0.13,0,0,0,7,0,0,25,2,23,0,t1218,2022-04-12
małopolskie,wielicki,2,0,2,0.15,0.0,0.15,0,0,0,1,0,0,42,3,39,0,t1219,2022-04-12
małopolskie,Kraków,40,0,40,0.51,0.0,0.51,1,0,1,48,10,0,356,43,312,1,t1261,2022-04-12
małopolskie,Nowy Sącz,0,1,1,0.0,0.12,0.12,0,0,0,0,0,0,17,1,15,1,t1262,2022-04-12
małopolskie,Tarnów,0,0,0,0.0,0.0,0.0,0,0,0,4,0,0,28,0,28,0,t1263,2022-04-12
mazowieckie,białobrzeski,1,0,1,0.3,0.0,0.3,0,0,0,3,0,0,7,1,6,0,t1401,2022-04-12
mazowieckie,ciechanowski,2,0,2,0.22,0.0,0.22,0,0,0,6,0,0,28,2,26,0,t1402,2022-04-12
mazowieckie,garwoliński,1,0,1,0.09,0.0,0.09,0,0,0,4,0,0,24,1,23,0,t1403,2022-04-12
mazowieckie,gostyniński,1,0,1,0.22,0.0,0.22,0,0,0,6,0,0,15,1,14,0,t1404,2022-04-12
mazowieckie,grodziski,8,0,8,0.83,0.0,0.83,0,0,0,4,0,1,45,8,36,1,t1405,2022-04-12
mazowieckie,grójecki,1,0,1,0.1,0.0,0.1,0,0,0,11,0,0,36,2,34,0,t1406,2022-04-12
mazowieckie,kozienicki,2,0,2,0.33,0.0,0.33,0,0,0,4,0,0,26,2,24,0,t1407,2022-04-12
mazowieckie,legionowski,7,1,8,0.59,0.08,0.67,0,0,0,12,0,0,57,10,47,0,t1408,2022-04-12
mazowieckie,lipski,1,0,1,0.3,0.0,0.3,0,0,0,0,0,0,3,1,2,0,t1409,2022-04-12
mazowieckie,łosicki,2,0,2,0.65,0.0,0.65,0,0,0,2,0,0,34,2,31,1,t1410,2022-04-12
mazowieckie,makowski,1,0,1,0.22,0.0,0.22,0,0,0,1,0,0,15,1,14,0,t1411,2022-04-12
mazowieckie,miński,1,0,1,0.06,0.0,0.06,0,0,0,5,0,0,56,2,53,1,t1412,2022-04-12
mazowieckie,mławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,93,0,93,0,t1413,2022-04-12
mazowieckie,nowodworski,2,0,2,0.25,0.0,0.25,0,0,0,4,0,0,25,3,22,0,t1414,2022-04-12
mazowieckie,ostrołęcki,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,13,1,12,0,t1415,2022-04-12
mazowieckie,ostrowski,2,0,2,0.28,0.0,0.28,0,0,0,0,0,0,35,2,33,0,t1416,2022-04-12
mazowieckie,otwocki,4,0,4,0.32,0.0,0.32,0,0,0,13,0,0,71,7,63,1,t1417,2022-04-12
mazowieckie,piaseczyński,7,1,8,0.37,0.05,0.42,0,0,0,3,0,0,80,9,71,0,t1418,2022-04-12
mazowieckie,płocki,6,1,7,0.54,0.09,0.63,0,0,0,10,0,0,45,9,35,1,t1419,2022-04-12
mazowieckie,płoński,4,0,4,0.46,0.0,0.46,0,0,0,9,0,0,56,5,51,0,t1420,2022-04-12
mazowieckie,pruszkowski,5,1,6,0.3,0.06,0.36,0,0,0,8,0,0,59,6,52,1,t1421,2022-04-12
mazowieckie,przasnyski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,11,0,t1422,2022-04-12
mazowieckie,przysuski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,9,0,t1423,2022-04-12
mazowieckie,pułtuski,0,0,0,0.0,0.0,0.0,0,0,0,1,2,0,13,0,13,0,t1424,2022-04-12
mazowieckie,radomski,3,0,3,0.2,0.0,0.2,0,0,0,3,0,0,43,3,39,1,t1425,2022-04-12
mazowieckie,siedlecki,1,0,1,0.12,0.0,0.12,0,0,0,0,0,0,35,1,34,0,t1426,2022-04-12
mazowieckie,sierpecki,3,0,3,0.58,0.0,0.58,0,0,0,5,0,0,15,3,11,1,t1427,2022-04-12
mazowieckie,sochaczewski,6,0,6,0.71,0.0,0.71,0,0,0,10,0,0,37,6,31,0,t1428,2022-04-12
mazowieckie,sokołowski,4,0,4,0.75,0.0,0.75,0,0,0,11,0,0,23,6,17,0,t1429,2022-04-12
mazowieckie,szydłowiecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,11,1,10,0,t1430,2022-04-12
mazowieckie,warszawski zachodni,11,3,14,0.92,0.25,1.17,0,0,0,20,0,0,61,17,42,2,t1432,2022-04-12
mazowieckie,węgrowski,1,0,1,0.15,0.0,0.15,0,0,0,5,0,0,19,1,18,0,t1433,2022-04-12
mazowieckie,wołomiński,12,0,12,0.48,0.0,0.48,0,0,0,22,0,0,100,14,85,1,t1434,2022-04-12
mazowieckie,wyszkowski,2,0,2,0.27,0.0,0.27,0,0,0,4,0,0,28,2,26,0,t1435,2022-04-12
mazowieckie,zwoleński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t1436,2022-04-12
mazowieckie,żuromiński,2,0,2,0.52,0.0,0.52,0,0,0,6,0,0,14,2,12,0,t1437,2022-04-12
mazowieckie,żyrardowski,3,0,3,0.4,0.0,0.4,1,1,0,5,0,0,28,3,25,0,t1438,2022-04-12
mazowieckie,Ostrołęka,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t1461,2022-04-12
mazowieckie,Płock,6,4,10,0.5,0.34,0.84,0,0,0,12,0,0,58,10,48,0,t1462,2022-04-12
mazowieckie,Radom,1,0,1,0.05,0.0,0.05,0,0,0,1,1,0,49,2,47,0,t1463,2022-04-12
mazowieckie,Siedlce,1,0,1,0.13,0.0,0.13,0,0,0,1,0,0,34,1,33,0,t1464,2022-04-12
mazowieckie,Warszawa,105,18,123,0.59,0.1,0.69,2,0,2,117,0,1,1593,141,1445,7,t1465,2022-04-12
opolskie,brzeski,4,0,4,0.45,0.0,0.45,0,0,0,4,0,0,26,4,22,0,t1601,2022-04-12
opolskie,głubczycki,2,0,2,0.44,0.0,0.44,0,0,0,0,0,0,16,2,14,0,t1602,2022-04-12
opolskie,kędzierzyńsko-kozielski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,32,1,31,0,t1603,2022-04-12
opolskie,kluczborski,2,0,2,0.31,0.0,0.31,0,0,0,0,0,0,26,2,24,0,t1604,2022-04-12
opolskie,krapkowicki,1,0,1,0.16,0.0,0.16,0,0,0,2,0,0,37,1,36,0,t1605,2022-04-12
opolskie,namysłowski,2,1,3,0.47,0.23,0.7,0,0,0,0,0,0,10,4,6,0,t1606,2022-04-12
opolskie,nyski,4,0,4,0.3,0.0,0.3,1,0,1,3,0,0,43,4,39,0,t1607,2022-04-12
opolskie,oleski,1,0,1,0.16,0.0,0.16,0,0,0,2,2,0,20,1,19,0,t1608,2022-04-12
opolskie,opolski,4,0,4,0.32,0.0,0.32,1,0,1,2,0,0,56,5,51,0,t1609,2022-04-12
opolskie,prudnicki,2,0,2,0.36,0.0,0.36,0,0,0,2,0,0,20,2,18,0,t1610,2022-04-12
opolskie,strzelecki,2,0,2,0.27,0.0,0.27,0,0,0,9,0,0,223,2,221,0,t1611,2022-04-12
opolskie,Opole,9,1,10,0.7,0.08,0.78,1,0,1,8,0,0,95,10,85,0,t1661,2022-04-12
podkarpackie,bieszczadzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t1801,2022-04-12
podkarpackie,brzozowski,1,0,1,0.15,0.0,0.15,0,0,0,2,0,0,13,1,12,0,t1802,2022-04-12
podkarpackie,dębicki,1,1,2,0.07,0.07,0.15,0,0,0,11,1,0,50,2,48,0,t1803,2022-04-12
podkarpackie,jarosławski,4,0,4,0.33,0.0,0.33,0,0,0,1,0,0,86,5,81,0,t1804,2022-04-12
podkarpackie,jasielski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,15,1,14,0,t1805,2022-04-12
podkarpackie,kolbuszowski,4,0,4,0.64,0.0,0.64,0,0,0,1,0,0,26,4,22,0,t1806,2022-04-12
podkarpackie,krośnieński,1,1,2,0.09,0.09,0.18,0,0,0,4,0,0,30,2,27,1,t1807,2022-04-12
podkarpackie,leżajski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,37,2,35,0,t1808,2022-04-12
podkarpackie,lubaczowski,2,0,2,0.36,0.0,0.36,0,0,0,0,0,0,12,2,10,0,t1809,2022-04-12
podkarpackie,łańcucki,4,1,5,0.49,0.12,0.62,0,0,0,1,2,0,28,5,22,1,t1810,2022-04-12
podkarpackie,mielecki,3,0,3,0.22,0.0,0.22,0,0,0,6,0,0,38,6,32,0,t1811,2022-04-12
podkarpackie,niżański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,13,0,t1812,2022-04-12
podkarpackie,przemyski,1,1,2,0.14,0.14,0.27,0,0,0,0,0,0,40,6,34,0,t1813,2022-04-12
podkarpackie,przeworski,4,0,4,0.51,0.0,0.51,0,0,0,0,0,0,158,12,145,1,t1814,2022-04-12
podkarpackie,ropczycko-sędziszowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,11,0,t1815,2022-04-12
podkarpackie,rzeszowski,5,1,6,0.29,0.06,0.35,0,0,0,2,0,0,40,6,34,0,t1816,2022-04-12
podkarpackie,sanocki,0,0,0,0.0,0.0,0.0,0,0,0,3,1,0,15,0,15,0,t1817,2022-04-12
podkarpackie,stalowowolski,1,0,1,0.09,0.0,0.09,0,0,0,2,0,0,32,1,31,0,t1818,2022-04-12
podkarpackie,strzyżowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,21,0,21,0,t1819,2022-04-12
podkarpackie,tarnobrzeski,1,0,1,0.19,0.0,0.19,0,0,0,0,0,0,16,1,15,0,t1820,2022-04-12
podkarpackie,leski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,9,0,t1821,2022-04-12
podkarpackie,Krosno,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,10,1,9,0,t1861,2022-04-12
