wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
podlaskie,wysokomazowiecki,-,-,3,-,-,0.53,0,0,0,8,3,99,70,3,67,0,t2013,2022-01-11
podlaskie,zambrowski,-,-,15,-,-,3.46,1,0,1,27,0,105,68,16,52,0,t2014,2022-01-11
podlaskie,Białystok,-,-,114,-,-,3.83,3,0,3,198,53,1196,712,130,578,4,t2061,2022-01-11
podlaskie,Łomża,-,-,10,-,-,1.59,1,0,1,38,5,187,83,13,70,0,t2062,2022-01-11
podlaskie,Suwałki,-,-,4,-,-,0.57,0,0,0,21,7,170,115,6,108,1,t2063,2022-01-11
pomorskie,bytowski,-,-,26,-,-,3.29,0,0,0,45,11,307,134,29,103,2,t2201,2022-01-11
pomorskie,chojnicki,-,-,40,-,-,4.1,3,0,3,51,11,456,166,43,121,2,t2202,2022-01-11
pomorskie,człuchowski,-,-,12,-,-,2.15,5,2,3,13,4,188,80,12,63,5,t2203,2022-01-11
pomorskie,gdański,-,-,54,-,-,4.52,1,0,1,91,53,761,310,63,240,7,t2204,2022-01-11
pomorskie,kartuski,-,-,48,-,-,3.41,1,1,0,99,24,865,325,53,264,8,t2205,2022-01-11
pomorskie,kościerski,-,-,24,-,-,3.3,1,1,0,32,3,235,166,28,137,1,t2206,2022-01-11
pomorskie,kwidzyński,-,-,45,-,-,5.42,3,0,3,53,18,434,278,53,215,10,t2207,2022-01-11
pomorskie,lęborski,-,-,15,-,-,2.27,2,0,2,34,11,229,135,18,117,0,t2208,2022-01-11
pomorskie,malborski,-,-,19,-,-,3.0,0,0,0,27,7,188,198,21,175,2,t2209,2022-01-11
pomorskie,nowodworski,-,-,13,-,-,3.66,0,0,0,21,6,173,76,16,60,0,t2210,2022-01-11
pomorskie,pucki,-,-,31,-,-,3.56,1,0,1,53,22,515,173,41,130,2,t2211,2022-01-11
pomorskie,słupski,-,-,23,-,-,2.33,1,0,1,28,13,338,161,24,134,3,t2212,2022-01-11
pomorskie,starogardzki,-,-,48,-,-,3.74,2,0,2,61,40,643,256,52,193,11,t2213,2022-01-11
pomorskie,tczewski,-,-,68,-,-,5.88,5,1,4,93,18,511,345,82,244,19,t2214,2022-01-11
pomorskie,wejherowski,-,-,51,-,-,2.33,2,0,2,183,37,954,572,68,496,8,t2215,2022-01-11
pomorskie,sztumski,-,-,3,-,-,0.73,0,0,0,23,3,150,236,8,225,3,t2216,2022-01-11
pomorskie,Gdańsk,-,-,335,-,-,7.1,1,0,1,420,195,3315,1624,390,1198,36,t2261,2022-01-11
pomorskie,Gdynia,-,-,151,-,-,6.14,2,1,1,211,71,1383,749,176,559,14,t2262,2022-01-11
pomorskie,Słupsk,-,-,16,-,-,1.77,3,0,3,47,21,410,179,22,155,2,t2263,2022-01-11
pomorskie,Sopot,-,-,18,-,-,5.06,0,0,0,29,9,188,125,21,102,2,t2264,2022-01-11
śląskie,będziński,-,-,41,-,-,2.77,1,0,1,125,25,638,312,49,260,3,t2401,2022-01-11
śląskie,bielski,-,-,84,-,-,5.05,0,0,0,166,28,1158,621,104,508,9,t2402,2022-01-11
śląskie,cieszyński,-,-,65,-,-,3.65,4,0,4,109,26,688,456,78,371,7,t2403,2022-01-11
śląskie,częstochowski,-,-,49,-,-,3.65,9,2,7,45,21,466,255,62,188,5,t2404,2022-01-11
śląskie,gliwicki,-,-,60,-,-,5.19,1,1,0,59,24,533,335,70,262,3,t2405,2022-01-11
śląskie,kłobucki,-,-,10,-,-,1.18,2,0,2,33,19,317,139,12,125,2,t2406,2022-01-11
śląskie,lubliniecki,-,-,40,-,-,5.24,4,2,2,43,9,379,297,48,246,3,t2407,2022-01-11
śląskie,mikołowski,-,-,79,-,-,7.96,0,0,0,93,22,646,284,93,189,2,t2408,2022-01-11
śląskie,myszkowski,-,-,32,-,-,4.53,0,0,0,27,7,274,139,33,105,1,t2409,2022-01-11
śląskie,pszczyński,-,-,48,-,-,4.3,0,0,0,87,15,535,274,52,217,5,t2410,2022-01-11
śląskie,raciborski,-,-,38,-,-,3.52,0,0,0,51,34,449,188,43,139,6,t2411,2022-01-11
śląskie,rybnicki,-,-,12,-,-,1.53,4,0,4,79,13,397,101,15,81,5,t2412,2022-01-11
śląskie,tarnogórski,-,-,60,-,-,4.26,9,2,7,108,32,780,377,73,299,5,t2413,2022-01-11
śląskie,bieruńsko-lędziński,-,-,29,-,-,4.84,0,0,0,37,11,259,116,34,81,1,t2414,2022-01-11
śląskie,wodzisławski,-,-,49,-,-,3.12,5,5,0,64,22,595,314,65,245,4,t2415,2022-01-11
śląskie,zawierciański,-,-,38,-,-,3.24,0,0,0,69,17,484,243,41,194,8,t2416,2022-01-11
śląskie,żywiecki,-,-,89,-,-,5.84,3,0,3,132,34,1065,439,109,329,1,t2417,2022-01-11
śląskie,Bielsko-Biała,-,-,102,-,-,5.99,0,0,0,148,46,991,662,126,528,8,t2461,2022-01-11
śląskie,Bytom,-,-,99,-,-,6.02,2,1,1,120,43,691,445,107,335,3,t2462,2022-01-11
śląskie,Chorzów,-,-,44,-,-,4.1,0,0,0,58,11,353,275,53,220,2,t2463,2022-01-11
śląskie,Częstochowa,-,-,89,-,-,4.06,5,1,4,105,40,735,528,109,410,9,t2464,2022-01-11
śląskie,Dąbrowa Górnicza,-,-,59,-,-,4.96,2,0,2,77,23,562,335,63,268,4,t2465,2022-01-11
śląskie,Gliwice,-,-,80,-,-,4.49,0,0,0,141,57,716,560,90,459,11,t2466,2022-01-11
śląskie,Jastrzębie-Zdrój,-,-,18,-,-,2.04,3,3,0,64,13,382,137,22,113,2,t2467,2022-01-11
śląskie,Jaworzno,-,-,3,-,-,0.33,4,0,4,51,14,342,120,6,114,0,t2468,2022-01-11
śląskie,Katowice,-,-,127,-,-,4.35,5,0,5,224,84,1417,781,149,625,7,t2469,2022-01-11
śląskie,Mysłowice,-,-,27,-,-,3.62,0,0,0,53,14,312,194,30,162,2,t2470,2022-01-11
śląskie,Piekary Śląskie,-,-,33,-,-,6.02,3,1,2,40,15,269,134,35,98,1,t2471,2022-01-11
śląskie,Ruda Śląska,-,-,51,-,-,3.72,0,0,0,108,20,574,324,57,264,3,t2472,2022-01-11
śląskie,Rybnik,-,-,70,-,-,5.08,7,0,7,122,18,584,257,75,179,3,t2473,2022-01-11
śląskie,Siemianowice Śląskie,-,-,21,-,-,3.15,3,1,2,46,7,290,144,27,115,2,t2474,2022-01-11
śląskie,Sosnowiec,-,-,94,-,-,4.72,0,0,0,99,52,975,597,105,489,3,t2475,2022-01-11
śląskie,Świętochłowice,-,-,19,-,-,3.85,1,0,1,34,7,202,118,20,98,0,t2476,2022-01-11
śląskie,Tychy,-,-,33,-,-,2.59,0,0,0,104,27,557,261,40,220,1,t2477,2022-01-11
śląskie,Zabrze,-,-,68,-,-,3.96,4,4,0,110,28,632,434,73,359,2,t2478,2022-01-11
śląskie,Żory,-,-,37,-,-,5.9,1,0,1,39,7,369,153,42,106,5,t2479,2022-01-11
świętokrzyskie,buski,-,-,22,-,-,3.08,0,0,0,23,12,363,152,27,125,0,t2601,2022-01-11
świętokrzyskie,jędrzejowski,-,-,24,-,-,2.82,3,0,3,28,4,225,132,26,104,2,t2602,2022-01-11
świętokrzyskie,kazimierski,-,-,15,-,-,4.48,1,1,0,12,4,200,78,19,59,0,t2603,2022-01-11
świętokrzyskie,kielecki,-,-,84,-,-,3.98,5,0,5,135,19,779,533,100,425,8,t2604,2022-01-11
świętokrzyskie,konecki,-,-,20,-,-,2.51,1,0,1,23,8,219,165,23,141,1,t2605,2022-01-11
świętokrzyskie,opatowski,-,-,7,-,-,1.35,0,0,0,20,5,134,76,9,67,0,t2606,2022-01-11
świętokrzyskie,ostrowiecki,-,-,17,-,-,1.57,7,0,7,44,19,229,187,21,166,0,t2607,2022-01-11
świętokrzyskie,pińczowski,-,-,18,-,-,4.65,0,0,0,15,6,113,76,19,57,0,t2608,2022-01-11
świętokrzyskie,sandomierski,-,-,16,-,-,2.09,0,0,0,44,9,263,155,21,132,2,t2609,2022-01-11
świętokrzyskie,skarżyski,-,-,32,-,-,4.35,3,0,3,42,10,265,151,36,114,1,t2610,2022-01-11
świętokrzyskie,starachowicki,-,-,18,-,-,2.02,9,1,8,24,16,259,130,20,108,2,t2611,2022-01-11
świętokrzyskie,staszowski,-,-,11,-,-,1.54,2,0,2,16,13,230,118,14,102,2,t2612,2022-01-11
świętokrzyskie,włoszczowski,-,-,11,-,-,2.45,0,0,0,24,1,131,79,13,66,0,t2613,2022-01-11
świętokrzyskie,Kielce,-,-,72,-,-,3.71,4,0,4,104,39,612,496,80,409,7,t2661,2022-01-11
warmińsko-mazurskie,bartoszycki,-,-,17,-,-,2.99,0,0,0,27,5,208,117,21,96,0,t2801,2022-01-11
warmińsko-mazurskie,braniewski,-,-,5,-,-,1.22,0,0,0,13,6,118,61,6,55,0,t2802,2022-01-11
warmińsko-mazurskie,działdowski,-,-,27,-,-,4.16,1,1,0,54,10,247,164,33,130,1,t2803,2022-01-11
warmińsko-mazurskie,elbląski,-,-,24,-,-,4.21,2,0,2,17,8,168,130,26,103,1,t2804,2022-01-11
warmińsko-mazurskie,ełcki,-,-,28,-,-,3.06,0,0,0,44,5,285,201,36,160,5,t2805,2022-01-11
warmińsko-mazurskie,giżycki,-,-,29,-,-,5.14,3,0,3,34,6,253,174,33,140,1,t2806,2022-01-11
warmińsko-mazurskie,iławski,-,-,17,-,-,1.83,2,0,2,58,12,367,160,20,140,0,t2807,2022-01-11
warmińsko-mazurskie,kętrzyński,-,-,17,-,-,2.74,1,1,0,32,6,247,125,24,101,0,t2808,2022-01-11
warmińsko-mazurskie,lidzbarski,-,-,13,-,-,3.17,0,0,0,24,1,149,85,14,70,1,t2809,2022-01-11
warmińsko-mazurskie,mrągowski,-,-,22,-,-,4.43,0,0,0,25,13,217,86,26,58,2,t2810,2022-01-11
warmińsko-mazurskie,nidzicki,-,-,18,-,-,5.5,0,0,0,28,1,184,124,19,105,0,t2811,2022-01-11
warmińsko-mazurskie,nowomiejski,-,-,5,-,-,1.14,0,0,0,25,6,232,87,8,79,0,t2812,2022-01-11
warmińsko-mazurskie,olecki,-,-,9,-,-,2.64,3,3,0,7,3,66,61,9,52,0,t2813,2022-01-11
warmińsko-mazurskie,olsztyński,-,-,26,-,-,2.04,2,2,0,50,15,448,293,33,257,3,t2814,2022-01-11
warmińsko-mazurskie,ostródzki,-,-,31,-,-,2.98,0,0,0,55,8,522,293,39,250,4,t2815,2022-01-11
warmińsko-mazurskie,piski,-,-,11,-,-,1.97,1,1,0,37,5,241,112,14,98,0,t2816,2022-01-11
warmińsko-mazurskie,szczycieński,-,-,28,-,-,4.04,3,0,3,48,4,306,183,33,150,0,t2817,2022-01-11
warmińsko-mazurskie,gołdapski,-,-,10,-,-,3.76,0,0,0,6,3,115,56,10,46,0,t2818,2022-01-11
warmińsko-mazurskie,węgorzewski,-,-,7,-,-,3.1,1,1,0,19,1,79,51,7,44,0,t2819,2022-01-11
warmińsko-mazurskie,Elbląg,-,-,39,-,-,3.27,4,0,4,58,15,358,234,43,185,6,t2861,2022-01-11
warmińsko-mazurskie,Olsztyn,-,-,79,-,-,4.6,1,1,0,114,30,621,550,90,459,1,t2862,2022-01-11
wielkopolskie,chodzieski,-,-,27,-,-,5.75,1,0,1,35,4,257,128,29,96,3,t3001,2022-01-11
wielkopolskie,czarnkowsko-trzcianecki,-,-,38,-,-,4.37,4,1,3,40,14,369,177,43,130,4,t3002,2022-01-11
wielkopolskie,gnieźnieński,-,-,43,-,-,2.96,0,0,0,77,27,716,273,47,225,1,t3003,2022-01-11
wielkopolskie,gostyński,-,-,12,-,-,1.58,0,0,0,23,4,140,107,12,93,2,t3004,2022-01-11
wielkopolskie,grodziski,-,-,5,-,-,0.96,0,0,0,46,16,255,66,5,61,0,t3005,2022-01-11
wielkopolskie,jarociński,-,-,10,-,-,1.4,0,0,0,26,10,236,102,10,92,0,t3006,2022-01-11
wielkopolskie,kaliski,-,-,31,-,-,3.73,0,0,0,15,13,285,162,36,125,1,t3007,2022-01-11
wielkopolskie,kępiński,-,-,15,-,-,2.66,4,0,4,22,8,296,86,18,67,1,t3008,2022-01-11
wielkopolskie,kolski,-,-,20,-,-,2.31,2,1,1,25,3,224,120,21,98,1,t3009,2022-01-11
wielkopolskie,koniński,-,-,41,-,-,3.15,5,2,3,43,5,484,248,46,199,3,t3010,2022-01-11
wielkopolskie,kościański,-,-,8,-,-,1.01,0,0,0,47,7,379,107,13,94,0,t3011,2022-01-11
wielkopolskie,krotoszyński,-,-,19,-,-,2.46,0,0,0,41,10,279,116,25,90,1,t3012,2022-01-11
wielkopolskie,leszczyński,-,-,9,-,-,1.56,1,1,0,35,6,195,91,9,81,1,t3013,2022-01-11
wielkopolskie,międzychodzki,-,-,9,-,-,2.45,0,0,0,20,4,149,80,11,69,0,t3014,2022-01-11
wielkopolskie,nowotomyski,-,-,28,-,-,3.7,2,0,2,50,3,452,154,31,112,11,t3015,2022-01-11
wielkopolskie,obornicki,-,-,6,-,-,1.0,1,0,1,36,13,268,70,7,62,1,t3016,2022-01-11
wielkopolskie,ostrowski,-,-,68,-,-,4.21,1,1,0,68,15,697,265,72,193,0,t3017,2022-01-11
wielkopolskie,ostrzeszowski,-,-,8,-,-,1.44,0,0,0,13,2,228,57,9,48,0,t3018,2022-01-11
wielkopolskie,pilski,-,-,36,-,-,2.65,4,2,2,74,25,562,205,39,165,1,t3019,2022-01-11
wielkopolskie,pleszewski,-,-,23,-,-,3.65,2,0,2,25,17,242,106,24,81,1,t3020,2022-01-11
wielkopolskie,poznański,-,-,230,-,-,5.7,2,1,1,313,100,2928,1277,257,1004,16,t3021,2022-01-11
wielkopolskie,rawicki,-,-,10,-,-,1.66,1,0,1,22,14,210,113,10,101,2,t3022,2022-01-11
wielkopolskie,słupecki,-,-,7,-,-,1.19,1,1,0,29,6,225,73,8,64,1,t3023,2022-01-11
wielkopolskie,szamotulski,-,-,22,-,-,2.4,6,0,6,68,11,496,187,26,157,4,t3024,2022-01-11
wielkopolskie,średzki,-,-,22,-,-,3.73,0,0,0,31,4,274,103,22,80,1,t3025,2022-01-11
wielkopolskie,śremski,-,-,20,-,-,3.25,2,0,2,34,4,360,109,21,86,2,t3026,2022-01-11
wielkopolskie,turecki,-,-,16,-,-,1.91,4,0,4,33,10,208,116,18,98,0,t3027,2022-01-11
wielkopolskie,wągrowiecki,-,-,19,-,-,2.71,4,0,4,30,4,221,99,21,77,1,t3028,2022-01-11
wielkopolskie,wolsztyński,-,-,9,-,-,1.56,4,0,4,13,7,191,76,11,65,0,t3029,2022-01-11
wielkopolskie,wrzesiński,-,-,30,-,-,3.84,0,0,0,47,3,339,149,31,117,1,t3030,2022-01-11
wielkopolskie,złotowski,-,-,16,-,-,2.31,2,2,0,44,8,311,92,19,73,0,t3031,2022-01-11
wielkopolskie,Kalisz,-,-,28,-,-,2.81,1,0,1,41,21,437,161,30,129,2,t3061,2022-01-11
wielkopolskie,Konin,-,-,16,-,-,2.19,1,1,0,36,10,234,130,19,108,3,t3062,2022-01-11
wielkopolskie,Leszno,-,-,14,-,-,2.21,0,0,0,46,3,238,119,14,100,5,t3063,2022-01-11
wielkopolskie,Poznań,-,-,354,-,-,6.63,8,0,8,438,203,3312,1818,407,1380,31,t3064,2022-01-11
zachodniopomorskie,białogardzki,-,-,15,-,-,3.16,0,0,0,17,7,122,83,15,68,0,t3201,2022-01-11
zachodniopomorskie,choszczeński,-,-,16,-,-,3.33,0,0,0,18,1,175,63,17,44,2,t3202,2022-01-11
zachodniopomorskie,drawski,-,-,17,-,-,2.99,0,0,0,48,11,274,131,18,110,3,t3203,2022-01-11
zachodniopomorskie,goleniowski,-,-,14,-,-,1.7,1,0,1,78,8,488,192,17,171,4,t3204,2022-01-11
zachodniopomorskie,gryficki,-,-,16,-,-,2.67,1,0,1,15,5,270,131,19,109,3,t3205,2022-01-11
zachodniopomorskie,gryfiński,-,-,16,-,-,1.96,4,0,4,58,17,543,431,24,406,1,t3206,2022-01-11
zachodniopomorskie,kamieński,-,-,17,-,-,3.63,1,0,1,26,4,185,112,19,90,3,t3207,2022-01-11
zachodniopomorskie,kołobrzeski,-,-,46,-,-,5.79,3,0,3,41,9,234,254,53,199,2,t3208,2022-01-11
zachodniopomorskie,koszaliński,-,-,14,-,-,2.11,2,0,2,35,6,380,160,15,142,3,t3209,2022-01-11
zachodniopomorskie,myśliborski,-,-,14,-,-,2.14,4,0,4,34,6,470,130,17,112,1,t3210,2022-01-11
zachodniopomorskie,policki,-,-,42,-,-,5.17,0,0,0,67,19,583,262,52,206,4,t3211,2022-01-11
zachodniopomorskie,pyrzycki,-,-,14,-,-,3.57,0,0,0,18,6,142,158,16,141,1,t3212,2022-01-11
zachodniopomorskie,sławieński,-,-,27,-,-,4.82,1,1,0,32,6,299,156,29,124,3,t3213,2022-01-11
zachodniopomorskie,stargardzki,-,-,38,-,-,3.16,2,0,2,81,14,491,287,45,233,9,t3214,2022-01-11
zachodniopomorskie,szczecinecki,-,-,19,-,-,2.45,3,0,3,59,9,312,158,24,132,2,t3215,2022-01-11
zachodniopomorskie,świdwiński,-,-,13,-,-,2.79,0,0,0,14,3,92,82,13,68,1,t3216,2022-01-11
zachodniopomorskie,wałecki,-,-,8,-,-,1.51,2,0,2,21,14,240,95,12,81,2,t3217,2022-01-11
zachodniopomorskie,łobeski,-,-,9,-,-,2.46,0,0,0,18,2,180,58,11,47,0,t3218,2022-01-11
zachodniopomorskie,Koszalin,-,-,19,-,-,1.78,3,0,3,80,10,425,303,21,280,2,t3261,2022-01-11
zachodniopomorskie,Szczecin,-,-,229,-,-,5.71,3,2,1,456,126,2587,1373,277,1067,29,t3262,2022-01-11
zachodniopomorskie,Świnoujście,-,-,13,-,-,3.18,0,0,0,23,9,125,96,16,80,0,t3263,2022-01-11
